a_number,fco,date_file_open,last_name,first_name,middle_name,mother,father,aka_last_name,aka_first_name,dob,cob,coc,coa,poe,doe,sex,soc_sec_no,i_94_adm_num,passport_num,fbi_number,driver_license_no,finger_print_code,travel_document,ident_fin
A881698028,AUJ,4292015,Wunsch,Breanna,,Shoshana,Irvin,Satterfield,,4031967,DYLXT,BVCQR,C37 - 203(a)(3) SPOUSE OF C36,UOE,7052017,U,131299295,27896985447,AOVV2P098EN8ITQ1JHX0,2JKKQ5KKX5W5,I4R81UTH97JKLXLX3HNY,URMKGLTYFEDVKNKWSRPG,RCZUVYWLVZVFUAZONUZY,4033
A738560787,XIQ,8272012,Leannon,Jarvis,Hilpert,,Loyd,Nader,Walton,1061935,IAYWX,HKXLW,RE9 - OTHER MEMBERS OF REF CLASS RE6,GBE,7292013,U,181488298,50979628098,B6CME511UAZNFP535KQ5,8FZZJI9LA8C8,4QPJ68I9OV7K6DBMDUJD,QFYRLJWSDGCZTJFUZTHC,IMMXZGYNUBLLSCDIQRXP,31609907
A249485029,ATU,6172015,Hartmann,Shaquana,,Romaine,Diego,,Launa,10271963,JJFXQ,IATDL,XN3 - 211(a) CHILD BRN ABD OTHER,SRL,5032014,F,821702025,70562248443,RPJ48DUYT7004G89FRIL,X72JA47GD0AR,S0GW9ZQTQXEE4N909W2C,SGYGCBEBZHVFDYMTNXGT,ZUYNGAJDXLCVUABQTEXE,639977
A340060044,BEM,2212020,Mitchell,Hien,,,,,Hilton,8131999,DZOCM,RTLMC,R1M - EMP/FORM EMP OF US ABROAD,TPI,10192012,U,524465146,67280965701,TT20XXQZG45VTJ71D5AT,COTSX5B6C79R,BWR0NZUEU1JGK5PB2X5H,KYHBOFLIKEEQDVFRXUGL,PVAZBZQNVREMCHGIJASN,8983
A426707185,JOT,12092016,Lehner,Danilo,Wintheiser,Glennie,,Gorczany,,8121944,VRPOC,EVWUW,F12 - 203(a)(1) CHILD OF F11,XKY,6092020,F,543174354,88055169798,LN6AKBE6AWJ55F5TD0X7,MSI9IT95SXIR,K3M06FQQP8EK81OGNY32,BIPEUZNHOWQEMVELUGQK,ENHUZEILZDJFKZUWAVGI,5123
A175429301,AWE,2132012,Fahey,Velva,,,Austin,Konopelski,Arla,5151966,HVSNV,QEEPU,Z41 - ADJ PVT LAW(PREF IMM/NON-PREF),XBC,11192019,F,999784569,23400827463,109ID5RQI92FR1Y7PNUK,0BFA1S9XEJ3Z,JSNDAHL969QVFTU8F7TW,JQCVMFMCNOWLEMQAAVLY,LOMJKWDEMLTFJUHKREKP,5052
A619265954,CDN,7252015,Stamm,Etsuko,Hyatt,,Billie,,Chung,5181959,GCBCA,CITTL,TC - CANADIAN FREE TRADE AGREEMENT,VWZ,5072016,F,876293402,90685759020,0GHKCLNVCIO7AQAPO855,LX3PBFJ7N66J,C58LLBXZIW5BZZ9KA0L9,GLNLJUKYCLSJJBQWWYMH,JOUGFEFPXKXVWJVZWJQP,9975
A887317024,GWZ,10312020,Abernathy,Tran,Douglas,Desiree,Cameron,Stokes,,9201952,KEYXT,GTLKY,SH2 - ACCOM SPOUSE/CH OF CL SH1/SH6,XTF,1172014,U,670575284,80961230634,FDMUFKN2XCS37D7LZ78N,3M6FK89WPKA3,M6M4K281LG5QE5IFP5BK,DAVWKVLLSNXLTODECNRC,UTVHSIBXHEJNSJVHRRAK,25612
A586094142,SQU,5292012,Denesik,Isiah,Keeling,,German,,,1031993,CSNOP,HNUGM,SA3 - CHILD OF ALIEN CLAS SA1 OR SA6,AYH,6292016,M,838028216,16707946697,6RGX3JIGT8Z64TH6FTO8,Q1P98QOL8IVW,IT6P8R78WFHXB38QW5UT,DBYZGBUGMIQDMYNXUQLK,IKXJDNAFSYJXPPDWDSQX,6576212
A567256110,MLP,2242016,Wolf,Basil,,,Tyrell,,,9061938,UGIYC,HSKTB,SG1 - FORM EMPL US GOVT IN PANAMA CA,KKD,10222014,M,659452823,76906467984,XB3V0BXZCPVLH8M804WN,HWSTSXS2PQ40,736QXUCQS0VAJRE5BXP6,KGKLMEZDJGBPYVOMZYZR,NYYLXYTIZEWUTUBDSVON,918032
A185279747,GEM,8082015,Fay,Whitney,,Jeanene,Erik,Runolfsdottir,Tu,1201993,FVXMV,HLPUT,SK8 - UNMRD S/D OF RET INTL'L EMP,FHL,4262018,F,308290509,72599831668,3MZQJ39VC4AEWIF48IYW,O5LV4X76RIXY,96A93NGETU02SRSZOWQX,VZCQJQAXLFCQLWWOHXDL,LTLHJZSBLKGYYYKAYZEY,97007
